country	year	lifeExp
Montenegro	1967	67.178
Egypt	1997	67.217
Ecuador	1987	67.231
China	1987	67.274
Korea_Dem_Rep	2007	67.297
Thailand	1992	67.298
Paraguay	1987	67.378
Mexico	1982	67.405
France	1952	67.41
Bosnia_and_Herzegovina	1972	67.45
Slovak_Republic	1957	67.45
Venezuela	1977	67.456
Austria	1957	67.48
Finland	1957	67.49
Germany	1952	67.5
Taiwan	1967	67.5
Jamaica	1967	67.51
Thailand	1997	67.521
Poland	1962	67.64
Hong_Kong_China	1962	67.65
Honduras	1997	67.659
Morocco	1997	67.66
Vietnam	1992	67.662
Albania	1972	67.69
Kuwait	1972	67.712
Korea_Dem_Rep	1997	67.727
Oman	1987	67.734
Algeria	1992	67.744
Colombia	1987	67.768
Italy	1957	67.81
Israel	1957	67.84
Costa_Rica	1972	67.849
Slovenia	1957	67.85
Greece	1957	67.86
Lebanon	1987	67.926
Singapore	1967	67.946
Hungary	1962	67.96
Belgium	1952	68
Malaysia	1982	68
Jordan	1992	68.015
Iran	1997	68.042
Paraguay	1992	68.225
Uruguay	1962	68.253
Cuba	1967	68.29
Trinidad_and_Tobago	1977	68.3
Peru	1997	68.386
Colombia	1992	68.421
Nicaragua	1997	68.426
United_States	1952	68.44
Dominican_Republic	1992	68.457
Uruguay	1967	68.468
Argentina	1977	68.481
Croatia	1967	68.5
Puerto_Rico	1957	68.54
Venezuela	1982	68.557
Philippines	1997	68.564
Thailand	2002	68.564
Honduras	2002	68.565
Indonesia	2002	68.588
Uruguay	1972	68.673
Panama	1977	68.681
China	1992	68.69
Serbia	1972	68.7
Japan	1962	68.73
Mauritius	1987	68.74
Canada	1952	68.75
Finland	1962	68.75
Libya	1992	68.755
Sri_Lanka	1982	68.757
Saudi_Arabia	1992	68.768
Trinidad_and_Tobago	1982	68.832
Turkey	1997	68.835
Ireland	1957	68.9
Albania	1977	68.93
France	1957	68.93
Trinidad_and_Tobago	2002	68.976
Guatemala	2002	68.978
Jamaica	1972	69
Sri_Lanka	1987	69.011
Czech_Republic	1957	69.03
Bahrain	1982	69.052
Germany	1957	69.1
Korea_Dem_Rep	1982	69.1
Australia	1952	69.12
Slovenia	1962	69.15
Algeria	1997	69.152
Hungary	1992	69.17
Slovenia	1967	69.18
United_Kingdom	1952	69.18
Romania	1972	69.21
Belgium	1957	69.24
Italy	1962	69.24
Syria	1992	69.249
Portugal	1972	69.26
Lebanon	1992	69.292
Kuwait	1977	69.343
Romania	1992	69.36
Brazil	1997	69.388
Hungary	1982	69.39
Israel	1962	69.39
New_Zealand	1952	69.39
Taiwan	1972	69.39
Paraguay	1997	69.4
Iran	2002	69.451
Romania	1977	69.46
Trinidad_and_Tobago	1997	69.465
Uruguay	1977	69.481
United_States	1957	69.49
Mexico	1987	69.498
Hungary	1967	69.5
Malaysia	1987	69.5
Bulgaria	1962	69.51
Greece	1962	69.51
Singapore	1972	69.521
Romania	1987	69.53
El_Salvador	1997	69.535
Austria	1962	69.54
Hungary	1987	69.58
Trinidad_and_Tobago	1987	69.582
Croatia	1972	69.61
Poland	1967	69.61
Ecuador	1992	69.613
Morocco	2002	69.615
Puerto_Rico	1962	69.62
Switzerland	1952	69.62
Romania	1982	69.66
Spain	1962	69.69
West_Bank_and_Gaza	1992	69.718
Romania	1997	69.72
Mauritius	1992	69.745
Hungary	1972	69.76
Jordan	1997	69.772
Egypt	2002	69.806
Korea_Rep	1987	69.81
Trinidad_and_Tobago	2007	69.819
Slovenia	1972	69.82
Finland	1967	69.83
Bosnia_and_Herzegovina	1977	69.86
Trinidad_and_Tobago	1992	69.862
Reunion	1982	69.885
Czech_Republic	1962	69.9
Peru	2002	69.906
Argentina	1982	69.942
Hungary	1977	69.95
Dominican_Republic	1997	69.957
Canada	1957	69.96
Korea_Dem_Rep	1992	69.978
Hong_Kong_China	1967	70
Tunisia	1992	70.001
Jamaica	1977	70.11
Austria	1967	70.14
Serbia	1982	70.162
Venezuela	1987	70.19
Honduras	2007	70.198
United_States	1962	70.21
Belgium	1962	70.25
Guatemala	2007	70.259
New_Zealand	1957	70.26
Lebanon	1997	70.265
Czech_Republic	1972	70.29
Ireland	1962	70.29
Germany	1962	70.3
Serbia	1977	70.3
Philippines	2002	70.303
Colombia	1997	70.313
Bulgaria	1997	70.32
Australia	1957	70.33
Slovak_Republic	1962	70.33
Slovak_Republic	1972	70.35
Sri_Lanka	1992	70.379
Czech_Republic	1967	70.38
Portugal	1977	70.41
Albania	1982	70.42
Bulgaria	1967	70.42
United_Kingdom	1957	70.42
China	1997	70.426
Slovak_Republic	1977	70.45
Sri_Lanka	1997	70.457
Croatia	1982	70.46
Panama	1982	70.472
France	1962	70.51
Saudi_Arabia	1997	70.533
Switzerland	1957	70.56
Chile	1982	70.565
Taiwan	1977	70.59
Thailand	2007	70.616
Austria	1972	70.63
Montenegro	1972	70.636
Croatia	1977	70.64
Korea_Dem_Rep	1987	70.647
Indonesia	2007	70.65
Poland	1977	70.67
Vietnam	1997	70.672
Bosnia_and_Herzegovina	1982	70.69
Malaysia	1992	70.693
Czech_Republic	1977	70.71
Cuba	1972	70.723
El_Salvador	2002	70.734
Mauritius	1997	70.736
Bahrain	1987	70.75
Costa_Rica	1977	70.75
Israel	1967	70.75
Paraguay	2002	70.755
United_Kingdom	1962	70.76
United_States	1967	70.76
Argentina	1987	70.774
Denmark	1952	70.78
Singapore	1977	70.795
Germany	1967	70.8
Slovak_Republic	1982	70.8
Uruguay	1982	70.805
Bulgaria	1977	70.81
Sri_Lanka	2002	70.815
Nicaragua	2002	70.836
Turkey	2002	70.845
Dominican_Republic	2002	70.847
Poland	1972	70.85
Finland	1972	70.87
Bulgaria	1972	70.9
Australia	1962	70.93
Belgium	1967	70.94
Czech_Republic	1982	70.96
Iran	2007	70.964
Slovenia	1977	70.97
Poland	1987	70.98
Slovak_Republic	1967	70.98
Poland	1992	70.99
Algeria	2002	70.994
Germany	1972	71
Greece	1967	71
Brazil	2002	71.006
Lebanon	2002	71.028
Hungary	1997	71.04
Italy	1967	71.06
Slovenia	1982	71.063
Bulgaria	1982	71.08
Ireland	1967	71.08
Slovak_Republic	1987	71.08
West_Bank_and_Gaza	1997	71.096
Australia	1967	71.1
Puerto_Rico	1967	71.1
Bosnia_and_Herzegovina	1987	71.14
Venezuela	1992	71.15
Morocco	2007	71.164
Bulgaria	1992	71.19
Oman	1992	71.197
Jamaica	1982	71.21
Serbia	1987	71.218
New_Zealand	1962	71.24
Jordan	2002	71.263
Ireland	1972	71.28
Canada	1962	71.3
Kuwait	1982	71.309
Poland	1982	71.32
Switzerland	1962	71.32
Romania	2002	71.322
Egypt	2007	71.338
Bulgaria	1987	71.34
United_States	1972	71.34
United_Kingdom	1967	71.36
Slovak_Republic	1992	71.38
Peru	2007	71.421
Japan	1967	71.43
Belgium	1972	71.44
Spain	1967	71.44
Mexico	1992	71.455
Croatia	1987	71.52
New_Zealand	1967	71.52
Panama	1987	71.523
Syria	1997	71.527
France	1967	71.55
Libya	1997	71.555
Czech_Republic	1987	71.58
Albania	1992	71.581
Saudi_Arabia	2002	71.626
Israel	1972	71.63
Serbia	1992	71.659
Colombia	2002	71.682
Philippines	2007	71.688
Paraguay	2007	71.752
Singapore	1982	71.76
Jamaica	1992	71.766
Jamaica	1987	71.77
Turkey	2007	71.777
Denmark	1957	71.81
Sweden	1952	71.86
Argentina	1992	71.868
El_Salvador	2007	71.878
New_Zealand	1972	71.89
Reunion	1987	71.913
Uruguay	1987	71.918
Australia	1972	71.93
Malaysia	1997	71.938
Mauritius	2002	71.954
Tunisia	1997	71.973
Lebanon	2007	71.993
Albania	1987	72
Hong_Kong_China	1972	72
United_Kingdom	1972	72.01
China	2002	72.028
Ireland	1977	72.03
Jamaica	2002	72.047
Canada	1967	72.13
Netherlands	1952	72.13
Bulgaria	2002	72.14
Venezuela	1997	72.146
Puerto_Rico	1972	72.16
Taiwan	1982	72.16
Austria	1977	72.17
Bosnia_and_Herzegovina	1992	72.178
Italy	1972	72.19
New_Zealand	1977	72.22
Serbia	1997	72.232
Dominican_Republic	2007	72.235
Korea_Rep	1992	72.244
Slovenia	1987	72.25
Jamaica	1997	72.262
Algeria	2007	72.301
Ecuador	1997	72.312
Greece	1972	72.34
Denmark	1962	72.35
West_Bank_and_Gaza	2002	72.37
France	1972	72.38
Brazil	2007	72.39
Sri_Lanka	2007	72.396
Czech_Republic	1992	72.4
Panama	1992	72.462
Romania	2007	72.476
Iceland	1952	72.49
Sweden	1957	72.49
Chile	1987	72.492
Oman	1997	72.499
Germany	1977	72.5
Finland	1977	72.52
Croatia	1992	72.527
Jordan	2007	72.535
Jamaica	2007	72.567
Hungary	2002	72.59
Bahrain	1992	72.601
Cuba	1977	72.649
Norway	1952	72.67
Slovak_Republic	1997	72.71
Libya	2002	72.737
Poland	1997	72.75
Uruguay	1992	72.752
United_Kingdom	1977	72.76
Venezuela	2002	72.766
Portugal	1982	72.77
Switzerland	1967	72.77
Saudi_Arabia	2007	72.777
Belgium	1977	72.8
Mauritius	2007	72.801
Canada	1972	72.88
Colombia	2007	72.889
Nicaragua	2007	72.899
Albania	1997	72.95
Denmark	1967	72.96
China	2007	72.961
Netherlands	1957	72.99
Bulgaria	2007	73.005
Vietnam	2002	73.017
Tunisia	2002	73.042
Malaysia	2002	73.044
Syria	2002	73.053
Israel	1977	73.06
Spain	1972	73.06
Montenegro	1977	73.066
Ireland	1982	73.1
Austria	1982	73.18
Serbia	2002	73.213
Netherlands	1962	73.23
Bosnia_and_Herzegovina	1997	73.244
Argentina	1997	73.275
Hungary	2007	73.338
Sweden	1962	73.37
United_States	1977	73.38
Taiwan	1987	73.4
Japan	1972	73.42
West_Bank_and_Gaza	2007	73.422
Norway	1957	73.44
Puerto_Rico	1977	73.44
Costa_Rica	1982	73.45
Denmark	1972	73.47
Iceland	1957	73.47
Norway	1962	73.47
Italy	1977	73.48
Australia	1977	73.49
Singapore	1987	73.56
Hong_Kong_China	1977	73.6
Reunion	1992	73.615
Slovenia	1992	73.64
Mexico	1997	73.67
Croatia	1997	73.68
Greece	1977	73.68
Iceland	1962	73.68
Cuba	1982	73.717
Iceland	1967	73.73
Panama	1997	73.738
Venezuela	2007	73.747
Netherlands	1972	73.75
Puerto_Rico	1982	73.75
Switzerland	1972	73.78
Germany	1982	73.8
Slovak_Republic	2002	73.8
Netherlands	1967	73.82
France	1977	73.83
New_Zealand	1982	73.84
Puerto_Rico	1992	73.911
Tunisia	2007	73.923
Bahrain	1997	73.925
Belgium	1982	73.93
Libya	2007	73.952
Montenegro	2002	73.981
Serbia	2007	74.002
Czech_Republic	1997	74.01
United_Kingdom	1982	74.04
Portugal	1987	74.06
Norway	1967	74.08
Bosnia_and_Herzegovina	2002	74.09
Montenegro	1982	74.101
Chile	1992	74.126
Syria	2007	74.143
Sweden	1967	74.16
Ecuador	2002	74.173
Cuba	1987	74.174
Kuwait	1987	74.174
Oman	2002	74.193
Canada	1977	74.21
Uruguay	1997	74.223
Malaysia	2007	74.241
Vietnam	2007	74.249
Taiwan	1992	74.26
New_Zealand	1987	74.32
Argentina	2002	74.34
Norway	1972	74.34
Ireland	1987	74.36
Spain	1977	74.39
Cuba	1992	74.414
Israel	1982	74.45
Iceland	1972	74.46
Montenegro	2007	74.543
Finland	1982	74.55
Denmark	1982	74.63
Puerto_Rico	1987	74.63
Korea_Rep	1997	74.647
United_States	1982	74.65
Slovak_Republic	2007	74.663
Poland	2002	74.67
Denmark	1977	74.69
Panama	2002	74.712
Sweden	1972	74.72
Australia	1982	74.74
Costa_Rica	1987	74.752
Reunion	1997	74.772
Bahrain	2002	74.795
Denmark	1987	74.8
Finland	1987	74.83
Germany	1987	74.847
Bosnia_and_Herzegovina	2007	74.852
Portugal	1992	74.86
Montenegro	1987	74.865
Croatia	2002	74.876
France	1982	74.89
Mexico	2002	74.902
Puerto_Rico	1997	74.917
Austria	1987	74.94
Italy	1982	74.98
Ecuador	2007	74.994
United_Kingdom	1987	75.007
United_States	1987	75.02
Slovenia	1997	75.13
Kuwait	1992	75.19
Greece	1982	75.24
Netherlands	1977	75.24
Taiwan	1997	75.25
Uruguay	2002	75.307
Argentina	2007	75.32
Denmark	1992	75.33
Belgium	1987	75.35
Norway	1977	75.37
Japan	1977	75.38
Switzerland	1977	75.39
Montenegro	1992	75.435
Sweden	1977	75.44
Montenegro	1997	75.445
Hong_Kong_China	1982	75.45
Ireland	1992	75.467
Czech_Republic	2002	75.51
Panama	2007	75.537
Poland	2007	75.563
Israel	1987	75.6
Bahrain	2007	75.635
Oman	2007	75.64
Albania	2002	75.651
Finland	1992	75.7
Costa_Rica	1992	75.713
Reunion	2002	75.744
Croatia	2007	75.748
Canada	1982	75.76
Singapore	1992	75.788
Chile	1997	75.816
Norway	1987	75.89
Norway	1982	75.97
Portugal	1997	75.97
Austria	1992	76.04
Netherlands	1982	76.05
Germany	1992	76.07
United_States	1992	76.09
Denmark	1997	76.11
Iceland	1977	76.11
Ireland	1997	76.122
Cuba	1997	76.151
Kuwait	1997	76.156
Mexico	2007	76.195
Hong_Kong_China	1987	76.2
Switzerland	1982	76.21
Spain	1982	76.3
Australia	1987	76.32
New_Zealand	1992	76.33
France	1987	76.34
Uruguay	2007	76.384
Italy	1987	76.42
Sweden	1982	76.42
United_Kingdom	1992	76.42
Albania	2007	76.423
Reunion	2007	76.442
Belgium	1992	76.46
Czech_Republic	2007	76.486
Slovenia	2002	76.66
Greece	1987	76.67
United_States	1997	76.81
Netherlands	1987	76.83
Canada	1987	76.86
Spain	1987	76.9
Kuwait	2002	76.904
Israel	1992	76.93
Iceland	1982	76.99
Taiwan	2002	76.99
Greece	1992	77.03
Korea_Rep	2002	77.045
Japan	1982	77.11
Finland	1997	77.13
Cuba	2002	77.158
Singapore	1997	77.158
Denmark	2002	77.18
Sweden	1987	77.19
United_Kingdom	1997	77.218
Iceland	1987	77.23
Costa_Rica	1997	77.26
Portugal	2002	77.29
United_States	2002	77.31
Norway	1992	77.32
Germany	1997	77.34
Switzerland	1987	77.41
Netherlands	1992	77.42
Italy	1992	77.44
France	1992	77.46
Austria	1997	77.51
Belgium	1997	77.53
New_Zealand	1997	77.55
Australia	1992	77.56
Spain	1992	77.57
Kuwait	2007	77.588
Hong_Kong_China	1992	77.601
Puerto_Rico	2002	77.778
Ireland	2002	77.783
Chile	2002	77.86
Greece	1997	77.869
Slovenia	2007	77.926
Canada	1992	77.95
Netherlands	1997	78.03
Switzerland	1992	78.03
Portugal	2007	78.098
Costa_Rica	2002	78.123
Sweden	1992	78.16
United_States	2007	78.242
Greece	2002	78.256
Israel	1997	78.269
Cuba	2007	78.273
Belgium	2002	78.32
Norway	1997	78.32
Denmark	2007	78.332
Finland	2002	78.37
Taiwan	2007	78.4
United_Kingdom	2002	78.471
Netherlands	2002	78.53
Chile	2007	78.553
Canada	1997	78.61
Korea_Rep	2007	78.623
France	1997	78.64
Germany	2002	78.67
Japan	1987	78.67
Puerto_Rico	2007	78.746
Iceland	1992	78.77
Singapore	2002	78.77
Spain	1997	78.77
Costa_Rica	2007	78.782
Italy	1997	78.82
Australia	1997	78.83
Ireland	2007	78.885
Iceland	1997	78.95
Austria	2002	78.98
Norway	2002	79.05
New_Zealand	2002	79.11
Finland	2007	79.313
Japan	1992	79.36
Switzerland	1997	79.37
Sweden	1997	79.39
Germany	2007	79.406
United_Kingdom	2007	79.425
Belgium	2007	79.441
Greece	2007	79.483
France	2002	79.59
Israel	2002	79.696
Netherlands	2007	79.762
Canada	2002	79.77
Spain	2002	79.78
Austria	2007	79.829
Singapore	2007	79.972
Hong_Kong_China	1997	80
Sweden	2002	80.04
Norway	2007	80.196
New_Zealand	2007	80.204
Italy	2002	80.24
Australia	2002	80.37
Iceland	2002	80.5
Italy	2007	80.546
Switzerland	2002	80.62
Canada	2007	80.653
France	2007	80.657
Japan	1997	80.69
Israel	2007	80.745
Sweden	2007	80.884
Spain	2007	80.941
Australia	2007	81.235
Hong_Kong_China	2002	81.495
Switzerland	2007	81.701
Iceland	2007	81.757
Japan	2002	82
Hong_Kong_China	2007	82.208
Japan	2007	82.603
